file,variable,type,description_en,description_ko
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,year,integer,Reference year. sido/sigungu 2006-2024; eupmyeondong 2014-2024.,"기준연도. sido/sigungu 2006-2024, eupmyeondong 2014-2024."
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,sido / sido_en,string,"Province or metropolitan city (Korean + English). Every year of the panel uses one fixed set of names, so a unit that was created or renamed during the period appears under its later name in the earlier years, carrying the values its predecessor reported. Sejong (established July 2012) is the main case: its rows before 2012 hold what Yeongi-gun in Chungcheongnam-do reported, and sido_code is blank for those years because the code did not yet exist. This keeps a district comparable with itself across the panel; a user who needs the names as the source printed them should read the raw yearbooks listed in raw_input_manifest.csv.","광역시·도(한글+영문). 모든 해가 하나의 고정된 이름 집합을 씁니다. 그래서 기간 중에 생기거나 이름이 바뀐 단위는 앞선 해에도 나중 이름으로 실리고, 값은 그 전신이 보고한 것입니다. 대표적인 경우가 세종특별자치시(2012년 7월 출범)로, 2012년 이전 행은 충청남도 연기군이 보고한 값이며 그 해에는 코드가 없었으므로 sido_code 가 비어 있습니다. 한 시군구를 시계열로 비교할 수 있게 하려는 것입니다. 연감이 인쇄한 그대로의 이름이 필요하면 raw_input_manifest.csv 의 원자료를 보십시오."
children_by_age.csv / ethnic_enclaves.csv / language_demand.csv / multicultural_households.csv / nationality_by_sido.csv / nationality_by_sigungu.csv / summary_by_eupmyeondong.csv / summary_by_sido.csv / summary_by_sigungu.csv / visa_by_sido.csv / visa_by_sigungu.csv,sido_code,string,"Official two-digit province code (행정안전부 법정동코드) in force on 31 December of that year: the language-neutral join key at the province level, stable under renaming. It follows the register, so 강원도 is 42 through 2022 and 강원특별자치도 51 from 2023, and 전라북도 is 45 through 2023 and 전북특별자치도 52 from 2024. Blank where the register has no province for that year.","그 해 12월 31일 기준 공식 시도 코드 2자리(행정안전부 법정동코드). 이름과 무관한 시도 층 조인 키다. 코드는 대장을 따르므로 강원도는 2022년까지 42, 강원특별자치도는 2023년부터 51이고, 전라북도는 2023년까지 45, 전북특별자치도는 2024년부터 52다. 그 해 대장에 없는 시도는 공백."
children_by_age.csv / ethnic_enclaves.csv / language_demand.csv / multicultural_households.csv / nationality_by_sigungu.csv / summary_by_eupmyeondong.csv / summary_by_sigungu.csv / visa_by_sigungu.csv,sigungu_code,string,"Official five-digit district code (행정안전부 법정동코드) in force on 31 December of that year: the language-neutral join key between the district and sub-district tables, and the key that survives the renames the Korean names do not. 인천 남구 and 미추홀구 are the same district, 28170 up to the 2018 rename and 28177 after it; 군위군 is 47720 while it sat in 경상북도 and 27720 once 대구 took it in 2023; 창원시 마산합포구 is 48125 from the 2010 merger. The general districts of 부천시, abolished in 2016 and re-created in 2024, carry the 부천시 code 41190 throughout, because the release publishes 부천시 as one district across the panel. Blank where the register cannot resolve the name.","그 해 12월 31일 기준 공식 시군구 코드 5자리(행정안전부 법정동코드). 시군구 표와 읍면동 표를 잇는 언어중립 조인 키이고, 한글 이름이 못 견디는 개명을 견딘다. 인천 남구와 미추홀구는 같은 시군구로 2018년 개명 전 28170, 이후 28177이다. 군위군은 경상북도 시절 47720, 2023년 대구 편입 뒤 27720이다. 창원시 마산합포구는 2010년 통합 이후 48125다. 2016년 폐지되고 2024년 다시 생긴 부천시 일반구는 공개본이 부천시 한 칸으로 내므로 전 기간 부천시 코드 41190을 단다. 대장에서 못 푼 이름은 공백."
summary_by_sigungu.csv / summary_by_eupmyeondong.csv,sigungu / sigungu_en,string,"District: an autonomous gu, a si (city), a gun (county), or a general gu of a large city, on the MOJ-published unit (Korean + English).",시군구: 자치구·시·군 및 대도시 일반구. MOJ 발표 단위(한글+영문).
summary_by_eupmyeondong.csv,eupmyeondong,string,Sub-district (eup/myeon/dong) on that year's administrative boundaries (Korean only; use adm_code as the language-neutral join key).,읍·면·동. 그 해 행정경계 기준(한글만; 언어중립 조인키는 adm_code).
summary_by_eupmyeondong.csv,adm_code,string,Official administrative-dong code for that year (7-digit for 2014/2015/2017; 10-digit standard code for 2016 and 2018+; source: vuski/admdongkor). Blank for the ~1% of dong names with no boundary match that year.,"그 해 공식 행정동코드(2014/2015/2017=7자리, 2016·2018~=10자리 표준코드; 출처 vuski/admdongkor). 경계 미매칭 약 1%는 공백."
summary_by_sido.csv / summary_by_sigungu.csv,registered_foreigners,integer,"MOJ registered foreigners (long-term, >90 days). Not published at the eup/myeon/dong level. District (sigungu) values begin in 2008.",MOJ 등록외국인(장기체류 >90일). 읍면동 미발행. 시군구는 2008년부터.
summary_by_sido.csv / summary_by_sigungu.csv,resident_pop,integer,"MOIS resident-registration population of Korean nationals: the common denominator for foreign_share_pct and every derived index, so foreign_share = registered_foreigners / resident_pop reproduces exactly.",MOIS 내국인 주민등록인구(공통 분모). foreign_share·broad_share·모든 지표의 분모 → registered_foreigners/resident_pop로 재현 가능.
summary_by_sido.csv / summary_by_sigungu.csv,foreign_share_pct,float,Registered foreigners / resident population x100 (MOJ basis).,등록외국인/주민등록인구 x100 (MOJ 기준).
